 ( -0.04398584349+              0j)
 (-0.04345607320812+              0j)
 (-0.04142581772151+              0j)
 (-0.03749623152204+              0j)
 (-0.03192760408905+              0j)
 (-0.02519373307082+              0j)
 (-0.01562379426215+              0j)
 (-0.004994142475802+              0j)
 (0.005409095814782+              0j)
 (0.01510095446159+              0j)
 (0.02462437097718+              0j)
 (0.03211986194845+              0j)
 (0.03777120283896+              0j)
 (0.04147225466772+              0j)
 (0.04368199370707+              0j)
 (0.04436502411372+              0j)
 (0.04384786803104+              0j)
 (0.04172369995179+              0j)
 (0.03813055355974+              0j)
 (0.03283357360231+              0j)
 (0.02547559508994+              0j)
 (0.01647348732319+              0j)
 (0.006445741580123+              0j)
 (-0.004719904436775+              0j)
 (-0.01478675313809+              0j)
 (-0.02409930486003+              0j)
 (-0.03205571166287+              0j)
 (-0.03718302903078+              0j)
 (-0.04066689377473+              0j)
 (-0.04346176434712+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
