,Matrix Size,Solver,Matrix Kind,Computation Time (seconds),Matrix Memory (MB)
0,500,numpy,normal,0.002496599990990944,1.9073486328125
1,500,numpy,tridiagonal,0.002069100009975955,0.0114288330078125
2,500,numpy,diagonal,0.0019897000020137057,0.003814697265625
3,500,scipy,normal,0.01456779999716673,1.9073486328125
4,500,scipy,tridiagonal,0.00015389999316539615,0.0114288330078125
5,500,scipy,diagonal,0.00011910000466741621,0.003814697265625
6,500,scipy sparse,normal,,1.9073486328125
7,500,scipy sparse,tridiagonal,9.23000043258071e-05,0.0114288330078125
8,500,scipy sparse,diagonal,4.400000034365803e-05,0.003814697265625
9,1500,numpy,normal,0.0418329999956768,17.1661376953125
10,1500,numpy,tridiagonal,0.03949189999548253,0.0343170166015625
11,1500,numpy,diagonal,0.0384638000105042,0.011444091796875
12,1500,scipy,normal,0.043780099993455224,17.1661376953125
13,1500,scipy,tridiagonal,0.001297900002100505,0.0343170166015625
14,1500,scipy,diagonal,0.0010323000024072826,0.011444091796875
15,1500,scipy sparse,normal,,17.1661376953125
16,1500,scipy sparse,tridiagonal,0.00026819999038707465,0.0343170166015625
17,1500,scipy sparse,diagonal,9.85000078799203e-05,0.011444091796875
18,2500,numpy,normal,0.17367709999962244,47.6837158203125
19,2500,numpy,tridiagonal,0.15947790000063833,0.0572052001953125
20,2500,numpy,diagonal,0.15845050000643823,0.019073486328125
21,2500,scipy,normal,0.11374900001101196,47.6837158203125
22,2500,scipy,tridiagonal,0.0041849999979604036,0.0572052001953125
23,2500,scipy,diagonal,0.003899999996065162,0.019073486328125
24,2500,scipy sparse,normal,,47.6837158203125
25,2500,scipy sparse,tridiagonal,0.0005489000031957403,0.0572052001953125
26,2500,scipy sparse,diagonal,0.0002558999985922128,0.019073486328125
27,3500,numpy,normal,0.44968510000035167,93.4600830078125
28,3500,numpy,tridiagonal,0.4262477000011131,0.0800933837890625
29,3500,numpy,diagonal,0.42257869998866227,0.026702880859375
30,3500,scipy,normal,0.20147149999684189,93.4600830078125
31,3500,scipy,tridiagonal,0.007572899994556792,0.0800933837890625
32,3500,scipy,diagonal,0.0074081000057049096,0.026702880859375
33,3500,scipy sparse,normal,,93.4600830078125
34,3500,scipy sparse,tridiagonal,0.0006424000021070242,0.0800933837890625
35,3500,scipy sparse,diagonal,0.000415000002249144,0.026702880859375
36,4500,numpy,normal,0.9220631000061985,154.4952392578125
37,4500,numpy,tridiagonal,0.8743057999963639,0.1029815673828125
38,4500,numpy,diagonal,0.8735351999930572,0.034332275390625
39,4500,scipy,normal,0.3845782999997027,154.4952392578125
40,4500,scipy,tridiagonal,0.01191730001301039,0.1029815673828125
41,4500,scipy,diagonal,0.011718599998857826,0.034332275390625
42,4500,scipy sparse,normal,,154.4952392578125
